rank,arabic_lemma,transliteration,english_core_gloss,part_of_speech,canonical_form_rule_used,root_if_relevant,estimated_frequency_tier,dispersion_score,usefulness_score,register_label,keep_reason,merged_forms_or_variants,notes
1,فِي,fiy,in,prep,particle/base,,T1,0.333,17.286,media,high_frequency + dispersion,ففى; ففي; ففيها; فى; في ...,
2,مِن,min,from,prep,particle/base,,T1,0.333,16.872,media,high_frequency + dispersion,بمن; فمن; فمنهم; كمن; لمن ...,
3,عَلَى,EalaY,on,prep,particle/base,,T1,0.333,16.342,media,high_frequency + dispersion,العلي; العليان; على; علي; عليك ...,
4,إِلَى,<ilaY,to,prep,particle/base,,T1,0.333,15.915,media,high_frequency + dispersion,آلي; ألى; إلى; إلي; إليك ...,
5,عَن,Ean,about,prep,particle/base,,T1,0.333,15.191,media,high_frequency + dispersion,عما; عمّا; عن; عنا; عنك ...,
6,مَع,maE,with,prep,particle/base,,T1,0.333,14.834,media,high_frequency + dispersion,فمع; مع; معكم; معنا; معه ...,
7,أَو,>aw,or,conj,particle/base,,T1,0.333,14.275,media,high_frequency + dispersion,أو; أَوْ; او,
8,أَنَّ,>an~a,That,conj_sub,particle/base,,T1,0.333,14.219,media,high_frequency + dispersion,آن; أن; أنك; أنكم; أننا ...,
9,كان,kAn,was,verb,verb: 3ms past lemma,,T1,0.333,14.211,media,high_frequency + dispersion,أكان; أكانت; أكن; أكون; اكن ...,
10,لِ,li,to; for,prep,particle/base,,T1,0.333,14.147,media,high_frequency + dispersion,فله; فلها; ل; لة; لـ ...,
11,لٰكِنَّ,l`kin~a,but,conj,particle/base,لكن,T1,0.333,13.918,media,high_frequency + dispersion,لكن; لكنا; لكننا; لكنني; لكنه ...,
12,خِلالَ,xilAla,I'm not.,prep,particle/base,خلل,T1,0.333,13.803,media,high_frequency + dispersion,خلال; خلاله; خلالها; خلالهما; فخلال ...,
13,كَما,kamA,Just like that.,conj,particle/base,,T1,0.333,13.8,media,high_frequency + dispersion,فكما; كما; وكما,
14,قال,qAl,He said...,verb,verb: 3ms past lemma,,T1,0.333,13.699,media,high_frequency + dispersion,أقول; أقوله; اقول; تقال; تقلهم ...,
15,بِ,bi,- I'm not.,prep,particle/base,,T1,0.333,13.656,media,high_frequency + dispersion,ب; بـ; بكم; بنا; به ...,
16,الَّذِي,Al~a*iy,who/that,pron_rel,particle/base,,T1,0.333,13.432,media,high_frequency + dispersion,التى; التي; الذى; الذي; الذين ...,
17,وَ,wa,and,conj,particle/base,,T1,0.333,13.402,media,high_frequency + dispersion,و,
18,حَتَّى,Hat~aY,until,prep,particle/base,حتت,T1,0.333,13.358,media,high_frequency + dispersion,حتى; حتي; حتّى; حَتَّى; فحتى ...,
19,إِلّا,<il~A,except,part,particle/base,,T1,0.333,13.321,media,high_frequency + dispersion,ألا; ألاّ; إلا; إلاّ; إلاَّ ...,
20,حَيْثُ,Hayovu,where,conj,particle/base,,T1,0.333,13.292,media,high_frequency + dispersion,بحيث; حيث; حيثُ; وحيث,
21,مُنْذُ,muno*u,since,conj,particle/base,,T1,0.333,13.11,media,high_frequency + dispersion,فمنذ; منذ; ومنذ,
22,هٰذا,h`*A,this,pron_dem,particle/base,,T1,0.333,13.074,media,high_frequency + dispersion,بهؤلاء; بهذا; بهذه; فهؤلاء; فهذا ...,
23,إِذا,<i*A,if; when,conj,particle/base,,T1,0.333,13.07,media,high_frequency + dispersion,أذا; إذا; إذاً; إِذَا; اذا ...,
24,ما,mA,what/that,pron_rel,particle/base,,T1,0.333,12.622,media,high_frequency + dispersion,بما; بِمَا; فما; فيما; لما ...,
25,لا,lA,no; not,part_neg,particle/base,,T1,0.333,12.534,media,high_frequency + dispersion,فلا; لا; لاَ; لَا; ولا ...,
26,بَل,bal,but; rather,conj,particle/base,,T1,0.333,12.527,media,high_frequency + dispersion,بل,
27,تَمّ,tam~,- That's it.,verb,verb: 3ms past lemma,تمم,T1,0.333,12.397,media,high_frequency + dispersion,أتم; أتمكن; تتم; تتمنى; تم ...,
28,رَئِيس,ra}iys,The president.,noun,noun: singular lemma,,T1,0.333,12.358,media,high_frequency + dispersion,الرؤساء; الرئيس; الرئيسان; الرئيسة; الرئيسين ...,
29,ذٰلِكَ,*`lika,that,pron_dem,particle/base,,T1,0.333,12.316,media,high_frequency + dispersion,بتلك; بذلك; تلك; ذلك; ذَلِكَ ...,
30,قَدْ,qado,already; has,part_verb,particle/base,,T1,0.333,12.266,media,high_frequency + dispersion,فقد; فلقد; قد; لقد; وقد ...,
31,عام,EAm,A year.,noun,noun: singular lemma,,T1,0.333,12.197,media,high_frequency + dispersion,أعوام; اعوام; الأعوام; الاعوام; العام ...,
32,أَكَّد,>ak~ad,I assure you.,verb,verb: 3ms past lemma,,T1,0.333,12.167,media,high_frequency + dispersion,أؤكد; أكد; أكدا; أكدت; أكدته ...,
33,بَيِّن,bay~in,between,noun,noun: singular lemma,,T1,0.333,12.155,media,high_frequency + dispersion,أبين; البين; بين; بينا; بينة ...,
34,أَعْلَن,>aEolan,I'm announcing.,verb,verb: 3ms past lemma,علن,T1,0.333,12.11,media,high_frequency + dispersion,أعلن; أعلنا; أعلنت; أعلنته; أعلنتها ...,
35,أَضاف,>aDAf,I added,verb,verb: 3ms past lemma,,T1,0.333,12.086,media,high_frequency + dispersion,أضاف; أضافة; أضافت; أضفنا; أضيف ...,
